short_name,model_id,accuracy,macro_f1,num_folds,num_utterances,elapsed_minutes,prediction_path,report_path,cm_path
Wav2Vec2-base-attnstat,facebook/wav2vec2-base,0.8654205607476636,0.8533289956086715,10,535,11.644852244853974,results\Wav2Vec2-base-attnstat_loso_predictions.csv,results\report_Wav2Vec2-base-attnstat_loso.txt,results\cm_Wav2Vec2-base-attnstat_loso.png
WavLM-base-attnstat,microsoft/wavlm-base,0.8635514018691589,0.8614197130394157,10,535,10.383124498526255,results\WavLM-base-attnstat_loso_predictions.csv,results\report_WavLM-base-attnstat_loso.txt,results\cm_WavLM-base-attnstat_loso.png
Whisper-base,openai/whisper-base,0.8280373831775701,0.820246437067441,10,535,17.86901871363322,results\Whisper-base_loso_predictions.csv,results\report_Whisper-base_loso.txt,results\cm_Whisper-base_loso.png
HuBERT-base-attnstat,facebook/hubert-base-ls960,0.8579439252336448,0.8544012702119571,10,535,8.23234573205312,results\HuBERT-base-attnstat_loso_predictions.csv,results\report_HuBERT-base-attnstat_loso.txt,results\cm_HuBERT-base-attnstat_loso.png
Pretrained-Ensemble-top2,,0.8803738317757009,0.8789002841723869,,,,results\Pretrained-Ensemble-top2_loso_predictions.csv,results\report_Pretrained-Ensemble-top2_loso.txt,results\cm_Pretrained-Ensemble-top2_loso.png
Pretrained-Ensemble-top3,,0.897196261682243,0.8915651352526076,,,,results\Pretrained-Ensemble-top3_loso_predictions.csv,results\report_Pretrained-Ensemble-top3_loso.txt,results\cm_Pretrained-Ensemble-top3_loso.png
Pretrained-Ensemble-top4,,0.9065420560747663,0.9017720750111026,,,,results\Pretrained-Ensemble-top4_loso_predictions.csv,results\report_Pretrained-Ensemble-top4_loso.txt,results\cm_Pretrained-Ensemble-top4_loso.png
